,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
587,BWI,CHS,441
588,BWI,CLE,504
589,BWI,CLT,1405
590,BWI,CMH,588
591,BWI,CVG,2
592,BWI,DAL,427
593,BWI,DAY,292
594,BWI,DEN,719
595,BWI,DFW,636
596,BWI,DTW,873
597,BWI,ECP,86
598,BWI,EWR,94
599,BWI,FLL,1671
600,BWI,FNT,230
601,BWI,GRR,257
602,BWI,GSP,142
603,BWI,HOU,382
604,BWI,IAH,389
605,BWI,IND,470
606,BWI,ISP,718
607,BWI,JAX,532
608,BWI,JFK,157
609,BWI,LAS,656
610,BWI,LAX,508
611,BWI,LIT,135
612,BWI,MCI,299
613,BWI,MCO,1261
614,BWI,MDW,742
615,BWI,MEM,131
616,BWI,MHT,993
617,BWI,MIA,401
618,BWI,MKE,329
619,BWI,MSP,302
620,BWI,MSY,284
621,BWI,MYR,109
622,BWI,OAK,104
623,BWI,OKC,160
624,BWI,ORD,992
625,BWI,ORF,582
626,BWI,PBI,485
627,BWI,PDX,34
628,BWI,PHL,1
629,BWI,PHX,620
630,BWI,PIT,470
631,BWI,PVD,1117
632,BWI,PWM,440
633,BWI,RDU,889
634,BWI,ROC,357
635,BWI,RSW,502
636,BWI,SAN,261
637,BWI,SAT,298
638,BWI,SDF,424
639,BWI,SEA,251
640,BWI,SFO,63
641,BWI,SJU,295
642,BWI,SLC,328
643,BWI,STL,430
644,BWI,TPA,865
645,BZN,ATL,33
646,BZN,DEN,291
647,BZN,EWR,27
648,BZN,IAH,14
649,BZN,LAX,68
650,BZN,LGA,4
651,BZN,MSP,232
652,BZN,ORD,80
653,BZN,PDX,5
654,BZN,SEA,25
655,BZN,SFO,69
656,BZN,SLC,258
657,CAE,ATL,821
658,CAE,DFW,461
659,CAE,IAD,78
660,CAE,IAH,98
661,CAE,LGA,175
662,CAE,ORD,231
663,CAK,ATL,478
664,CAK,BOS,81
665,CAK,DCA,67
666,CAK,DEN,48
667,CAK,DTW,55
668,CAK,EWR,41
669,CAK,LAS,8
670,CAK,LGA,187
671,CAK,MCO,128
672,CAK,ORD,438
673,CAK,RSW,50
674,CAK,TPA,80
675,CDC,SLC,180
676,CDV,ANC,109
677,CDV,YAK,96
678,CEC,SFO,59
679,CHA,ATL,937
680,CHA,DFW,235
681,CHA,DTW,189
682,CHA,ORD,160
683,CHO,ATL,273
684,CHO,LGA,161
685,CHO,ORD,315
686,CHS,ATL,621
687,CHS,BNA,135
688,CHS,BOS,106
689,CHS,BWI,338
690,CHS,CLT,48
691,CHS,DAL,8
692,CHS,DCA,202
693,CHS,DFW,119
694,CHS,DTW,70
695,CHS,EWR,483
696,CHS,FLL,10
697,CHS,HOU,91
698,CHS,IAD,4
699,CHS,IAH,225
700,CHS,JFK,485
701,CHS,LGA,55
702,CHS,MDW,149
703,CHS,MIA,71
704,CHS,OKC,1
705,CHS,ORD,424
706,CHS,SEA,3
707,CID,ATL,328
708,CID,DEN,294
709,CID,DFW,424
710,CID,DTW,291
711,CID,LAX,1
712,CID,MSP,364
713,CID,ORD,846
714,CIU,DTW,269
715,CLD,LAX,225
716,CLE,ATL,616
717,CLE,BDL,65
718,CLE,BNA,198
719,CLE,BOS,461
720,CLE,BWI,394
721,CLE,CLT,309
722,CLE,DCA,330
723,CLE,DEN,401
724,CLE,DFW,538
725,CLE,DTW,244
726,CLE,EWR,566
727,CLE,FLL,286
728,CLE,IAD,126
729,CLE,IAH,373
730,CLE,JFK,115
731,CLE,LAS,402
732,CLE,LAX,313
733,CLE,LGA,937
734,CLE,MCO,507
735,CLE,MDW,526
736,CLE,MIA,111
737,CLE,MKE,219
738,CLE,MSP,274
739,CLE,MYR,37
740,CLE,ORD,1347
741,CLE,PHL,67
742,CLE,PHX,302
743,CLE,RDU,133
744,CLE,RSW,225
745,CLE,SEA,96
746,CLE,SFO,120
747,CLE,SJU,10
748,CLE,STL,152
749,CLE,TPA,173
750,CLL,DFW,470
751,CLL,IAH,182
752,CLT,ABQ,37
753,CLT,ALB,314
754,CLT,ATL,2149
755,CLT,AUS,168
756,CLT,BDL,685
757,CLT,BNA,497
758,CLT,BOS,1675
759,CLT,BUF,521
760,CLT,BWI,1466
761,CLT,CHS,75
762,CLT,CLE,366
763,CLT,CMH,9
764,CLT,CVG,45
765,CLT,DAB,3
766,CLT,DAL,21
767,CLT,DCA,1129
768,CLT,DEN,852
769,CLT,DFW,1522
770,CLT,DTW,961
771,CLT,EWR,1777
772,CLT,FLL,972
773,CLT,GSO,63
774,CLT,HOU,137
775,CLT,IAD,11
776,CLT,IAH,1446
777,CLT,ILM,50
778,CLT,IND,130
779,CLT,JAX,840
780,CLT,JFK,1229
781,CLT,LAS,614
782,CLT,LAX,888
783,CLT,LGA,1736
784,CLT,MCI,512
785,CLT,MCO,1484
786,CLT,MDT,50
787,CLT,MDW,167
788,CLT,MEM,332
789,CLT,MIA,1288
790,CLT,MSP,763
791,CLT,MSY,570
792,CLT,MYR,3
793,CLT,ORD,1871
794,CLT,ORF,247
795,CLT,PBI,629
796,CLT,PDX,114
797,CLT,PHL,1542
798,CLT,PHX,1215
799,CLT,PIT,993
800,CLT,PVD,468
801,CLT,PWM,140
802,CLT,RDU,852
803,CLT,RIC,552
804,CLT,ROC,109
805,CLT,RSW,699
806,CLT,SAN,258
807,CLT,SAT,143
808,CLT,SDF,2
809,CLT,SEA,385
810,CLT,SFO,743
811,CLT,SGF,68
812,CLT,SJU,337
813,CLT,SLC,207
814,CLT,SMF,101
815,CLT,STL,402
816,CLT,STT,185
817,CLT,STX,19
818,CLT,SYR,269
819,CLT,TPA,1172
820,CLT,TTN,162
821,CMH,ATL,861
822,CMH,BNA,174
823,CMH,BOS,49
824,CMH,BWI,504
825,CMH,CLT,8
826,CMH,DAL,78
827,CMH,DCA,68
828,CMH,DEN,330
829,CMH,DFW,412
830,CMH,DTW,35
831,CMH,EWR,355
832,CMH,FLL,83
833,CMH,IAD,8
834,CMH,IAH,349
835,CMH,JFK,198
836,CMH,LAS,178
837,CMH,LAX,199
838,CMH,LGA,597
839,CMH,MCO,283
840,CMH,MDW,608
841,CMH,MIA,228
842,CMH,MSP,162
843,CMH,OAK,22
844,CMH,ORD,1110
845,CMH,PHX,364
846,CMH,RSW,99
847,CMH,STL,191
848,CMH,TPA,159
849,CMI,DFW,119
850,CMI,ORD,495
851,CMX,ORD,202
852,CNY,SLC,8
853,COD,DEN,135
854,COD,ORD,6
855,COD,SLC,172
856,COS,ATL,88
857,COS,DEN,725
858,COS,DFW,296
859,COS,IAH,373
860,COS,LAX,308
861,COS,ORD,407
862,COS,SEA,127
863,COS,SFO,1
864,COS,SLC,148
865,COU,DFW,234
866,COU,ORD,232
867,CPR,DEN,292
868,CPR,SLC,104
869,CRP,DFW,666
870,CRP,HOU,364
871,CRP,IAH,653
872,CRW,ATL,559
873,CRW,DFW,90
874,CRW,IAH,142
875,CRW,MYR,32
876,CRW,ORD,210
877,CSG,ATL,382
878,CVG,ATL,661
879,CVG,BDL,1
880,CVG,BNA,116
881,CVG,BOS,131
882,CVG,CLT,22
883,CVG,DCA,23
884,CVG,DEN,406
885,CVG,DFW,752
886,CVG,DTW,168
887,CVG,EWR,455
888,CVG,FLL,142
889,CVG,GRR,65
890,CVG,IAD,11
891,CVG,IAH,545
892,CVG,JFK,110
893,CVG,LAS,271
894,CVG,LAX,129
895,CVG,LGA,32
896,CVG,MCI,15
897,CVG,MCO,267
898,CVG,MEM,40
899,CVG,MIA,246
900,CVG,MKE,137
901,CVG,MSN,19
902,CVG,MSP,153
903,CVG,ORD,1533
904,CVG,PHX,50
905,CVG,PIT,2
906,CVG,RDU,3
907,CVG,RSW,118
908,CVG,SEA,53
909,CVG,SFO,66
910,CVG,SLC,108
911,CVG,STL,9
912,CVG,TPA,59
913,CVG,TTN,1
914,CVG,XNA,71
915,CWA,MSP,10
916,CWA,ORD,410
917,DAB,ATL,335
918,DAB,CLT,3
919,DAL,ABQ,782
920,DAL,AMA,493
921,DAL,ATL,975
922,DAL,AUS,1871
923,DAL,BHM,336
924,DAL,BNA,443
925,DAL,BOS,55
926,DAL,BWI,429
927,DAL,CHS,56
928,DAL,CLT,31
929,DAL,CMH,107
930,DAL,DCA,954
931,DAL,DEN,534
932,DAL,DTW,42
933,DAL,ECP,58
934,DAL,ELP,572
935,DAL,FLL,412
936,DAL,HOU,2808
937,DAL,IAH,208
938,DAL,ICT,273
939,DAL,IND,121
940,DAL,LAS,522
941,DAL,LAX,1359
942,DAL,LBB,620
943,DAL,LGA,1242
944,DAL,LIT,499
945,DAL,MAF,626
946,DAL,MCI,1166
947,DAL,MCO,430
948,DAL,MDW,774
949,DAL,MEM,212
950,DAL,MKE,74
951,DAL,MSY,1019
952,DAL,OAK,239
953,DAL,OKC,465
954,DAL,OMA,29
955,DAL,PDX,109
956,DAL,PHL,33
957,DAL,PHX,633
958,DAL,PIT,36
959,DAL,RDU,56
960,DAL,SAN,315
961,DAL,SAT,1409
962,DAL,SEA,176
963,DAL,SFO,666
964,DAL,SJC,155
965,DAL,SLC,33
966,DAL,SMF,125
967,DAL,SNA,259
968,DAL,STL,960
969,DAL,TPA,307
970,DAL,TUL,504
971,DAY,ATL,321
972,DAY,BWI,221
973,DAY,DEN,126
974,DAY,DFW,265
975,DAY,DTW,166
976,DAY,EWR,300
977,DAY,IAD,1
978,DAY,LGA,149
979,DAY,MCO,88
980,DAY,MSP,157
