,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_FLIGHTS,ARRIVAL_DELAY,DELAY_RATIO
612,BWI,IAH,979,389,0.397
613,BWI,IND,1003,470,0.469
614,BWI,ISP,1483,718,0.484
615,BWI,JAX,1089,532,0.489
616,BWI,JFK,309,157,0.508
617,BWI,LAS,1698,656,0.386
618,BWI,LAX,1104,508,0.46
619,BWI,LIT,308,135,0.438
620,BWI,MCI,767,299,0.39
621,BWI,MCO,3047,1261,0.414
622,BWI,MDW,1886,742,0.393
623,BWI,MEM,383,131,0.342
624,BWI,MHT,2160,993,0.46
625,BWI,MIA,1083,401,0.37
626,BWI,MKE,842,329,0.391
627,BWI,MSP,1030,302,0.293
628,BWI,MSY,818,284,0.347
629,BWI,MYR,201,109,0.542
630,BWI,OAK,322,104,0.323
631,BWI,OKC,326,160,0.491
632,BWI,ORD,2374,992,0.418
633,BWI,ORF,1123,582,0.518
634,BWI,PBI,963,485,0.504
635,BWI,PDX,62,34,0.548
636,BWI,PHL,7,1,0.143
637,BWI,PHX,1585,620,0.391
638,BWI,PIT,947,470,0.496
639,BWI,PVD,2439,1117,0.458
640,BWI,PWM,973,440,0.452
641,BWI,RDU,1913,889,0.465
642,BWI,ROC,701,357,0.509
643,BWI,RSW,1206,502,0.416
644,BWI,SAN,702,261,0.372
645,BWI,SAT,786,298,0.379
646,BWI,SDF,1106,424,0.383
647,BWI,SEA,691,251,0.363
648,BWI,SFO,288,63,0.219
649,BWI,SJU,620,295,0.476
650,BWI,SLC,985,328,0.333
651,BWI,STL,1191,430,0.361
652,BWI,TPA,2139,865,0.404
653,BZN,ATL,96,33,0.344
654,BZN,DEN,849,291,0.343
655,BZN,EWR,46,27,0.587
656,BZN,IAH,21,14,0.667
657,BZN,LAX,139,68,0.489
658,BZN,LGA,10,4,0.4
659,BZN,MSP,687,232,0.338
660,BZN,ORD,244,80,0.328
661,BZN,PDX,115,5,0.043
662,BZN,SEA,115,25,0.217
663,BZN,SFO,180,69,0.383
664,BZN,SLC,1055,258,0.245
665,CAE,ATL,2672,821,0.307
666,CAE,DFW,922,461,0.5
667,CAE,IAD,185,78,0.422
668,CAE,IAH,279,98,0.351
669,CAE,LGA,394,175,0.444
670,CAE,ORD,574,231,0.402
671,CAK,ATL,2018,478,0.237
672,CAK,BOS,292,81,0.277
673,CAK,DCA,267,67,0.251
674,CAK,DEN,269,48,0.178
675,CAK,DTW,188,55,0.293
676,CAK,EWR,113,41,0.363
677,CAK,LAS,47,8,0.17
678,CAK,LGA,479,187,0.39
679,CAK,MCO,541,128,0.237
680,CAK,ORD,1196,438,0.366
681,CAK,RSW,195,50,0.256
682,CAK,TPA,369,80,0.217
683,CDC,SLC,572,180,0.315
684,CDV,ANC,325,109,0.335
685,CDV,YAK,327,96,0.294
686,CEC,SFO,173,59,0.341
687,CHA,ATL,2684,937,0.349
688,CHA,DFW,613,235,0.383
689,CHA,DTW,464,189,0.407
690,CHA,ORD,364,160,0.44
691,CHO,ATL,917,273,0.298
692,CHO,LGA,354,161,0.455
693,CHO,ORD,821,315,0.384
694,CHS,ABE,0,0,
695,CHS,ATL,3176,621,0.196
696,CHS,BNA,343,135,0.394
697,CHS,BOS,334,106,0.317
698,CHS,BWI,999,338,0.338
699,CHS,CLE,11,0,0.0
700,CHS,CLT,194,48,0.247
701,CHS,DAL,131,8,0.061
702,CHS,DCA,637,202,0.317
703,CHS,DFW,236,119,0.504
704,CHS,DTW,281,70,0.249
705,CHS,EWR,1201,483,0.402
706,CHS,FLL,43,10,0.233
707,CHS,HOU,335,91,0.272
708,CHS,IAD,4,4,1.0
709,CHS,IAH,567,225,0.397
710,CHS,JFK,1177,485,0.412
711,CHS,LGA,132,55,0.417
712,CHS,MDW,532,149,0.28
713,CHS,MIA,249,71,0.285
714,CHS,OKC,1,1,1.0
715,CHS,ORD,928,424,0.457
716,CHS,PHL,11,0,0.0
717,CHS,SEA,26,3,0.115
718,CID,ATL,866,328,0.379
719,CID,DEN,797,294,0.369
720,CID,DFW,973,424,0.436
721,CID,DTW,684,291,0.425
722,CID,LAX,1,1,1.0
723,CID,MSP,709,364,0.513
724,CID,ORD,2558,846,0.331
725,CIU,DTW,596,269,0.451
726,CLD,LAX,628,225,0.358
727,CLE,ATL,2829,616,0.218
728,CLE,BDL,129,65,0.504
729,CLE,BNA,787,198,0.252
730,CLE,BOS,1779,461,0.259
731,CLE,BWI,1159,394,0.34
732,CLE,CHS,11,0,0.0
733,CLE,CLT,1146,309,0.27
734,CLE,DCA,1357,330,0.243
735,CLE,DEN,1229,401,0.326
736,CLE,DFW,1525,538,0.353
737,CLE,DTW,616,244,0.396
738,CLE,EWR,1494,566,0.379
739,CLE,FLL,821,286,0.348
740,CLE,IAD,349,126,0.361
741,CLE,IAH,1138,373,0.328
742,CLE,JFK,282,115,0.408
